DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,GOOGLE2001
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
FEATURES USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
FEATURES USE,PRODUCT USE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,,GOOGLE,
FILE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,,GOOGLE,
FILE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
FILE INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
IP ADDRESS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
IP ADDRESS,DEVICE INFO,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
LOCATION HISTORY,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
LOGIN INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,GOOGLE,GOOGLE
NAME,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NAME,PERSONAL DATA,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NETWORK INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
NON-PERSONAL DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
PAYMENT CARD INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
PAYMENT CARD INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
